name,名前
pen,ペン,筆記用具
transport,運輸,運送,運び
trick,いたずら,たくらみ
wire,針金,電線
swim,泳ぎ,水泳
kettle,湯わかし,釜,やかん
yellow,黄色い
cover,おおう,かぶせる
morning,朝
rod,棒
like,同じような
value,価値,評価
tired,疲れた,くたびれた
winter,冬
society,世界,社会
very,とても,いとも,いっそう
bad,ひどい,悪い
hospital,病院,ホスピタル
hook,鉤,フック
key,鍵,カギ
blade,刃物,ひげそり
tendency,傾向
girl,令嬢,娘
comb,クシ
unit,単一体,集合体,単位,部隊
picture,絵,写真
up,上方へ,上向きに
servant,使用人
tray,お盆,トレー
brake,歯止め,ブレーキ
with,いっしょに,ともに
only,ただひとり,ただひとつ
smash,打ち付ける,打ち壊す
and,～と
table,テーブル,一覧表
sweet,優しい,あまい
basket,かご
shake,振る,ゆり動かす
chin,アゴ
discussion,話し合い,ディスカッション
present,現在の
boot,ブーツ,長靴
polish,磨る,研ぐ
system,システム,系統,体系
same,同じ
gold,黄金,ゴールド
sudden,急激,突発的
sock,ぶん殴る
story,物語,お話
